Item Id,SKU,Type,Brand,Material,Color,Mounting,Size,Features,Suitable For,Country/Region of Manufacture,Number of Compartments,Shape,Style,Entrance,Item Height,Year Manufactured,Item Width,Item Depth,Personalize,Predator Guard Included,Treated Timber,Ventilation Holes,Assembly Required,Manufacturer Warranty,MPN,Item Weight,Model,Custom Bundle,California Prop 65 Warning,Bundle Description,Required Tools,Weight Capacity,Personalization Instructions,
"255444595925","GC16222","Bird","Birdhouse Spy Cam","","","","","Camera","","","","","","","","","","","","","","","","","BCAMHEW","","","","","","","","",
"255444553071","ZX9BCI1507157","Bird","PetPride","","","","","","","","3","","","","","","","","","","","","","","PE197110","","","","","","","","",
"265603680238","SSCH019","Bird","Esschert Design USA","Metal","Black","","Large","","","","","","","","","","","","","","","","","","FB150","","","","","","","","",
"265603683305","SSCH089","Bird","Esschert Design USA","Metal","Black","","Small","","","","","","","","","","","","","","","","","","FB405","","","","","","","","",
"265603707023","ZX9WDLNK165","Bird","Fancy Feline","","Green","","","","","","","","","","","","","","","","","","","","FA586550","","","","","","","","",
"255576388607","GC2405","Bird","Heath","","","","","","","","","","","","","","","","","","","","","","HEATHM12DP","","","","","","","","",
"255444591415","TRVAL65528","Bird","Heath Manufacturing","","Purple","","","","","","4","","","","","","","","","","","","","","172524","","","","","","","","",
"255576382521","TRVAL115768","Bird","Innovation Pet","Metal","","","","","","","","","","","","","","","","","","","","","242677","","","","","","","","",
"265603689041","LOOK114","Bird","Looker","","","","","","","","","","","","","","","","","","","","","","SE571","","","","","","","","",
"255444544862","LOOK010","Bird","Looker","","","","","","","","3","","","","","","","","","","","","","","SE520","","","","","","","","",
"255444537383","JNSN86741","Bird","Natures Way Bird Products","","","","","","","","","","","","","","","","","","","","","","CWH4","","","","","","","","",
"255461402018","BCI1509821","Bird","Natures Way Bird Products","","","","","","","","","","","","","","","","","","","","","","PWH1-AST","","","","","","","","",
"265603714302","BCI1509821","Bird","Natures Way Bird Products","","","","","","","","","","","","","","","","","","","","","","PWH1-AST","","","","","","","","",
"265731210710","EPYS1761","Bird","Prevue Pet Products","","","","","","","","","","","","","","","","","","","","","","4700","","","","","","","","",
"255444580612","ZX9WDLNK042","Bird","Fancy Feline","","","","","","","","","","","","","","","","","","","","","","FA142295","","","","","","","","",
"265603699535","REDC2172","Bird","Red Carpet Studios","","Red","","","","","","","","","","","","","","","","","","","","40924","","","","","","","","",
"255444552154","GC14160","Bird","Songbird Essentials","","Green","","","","","","","","","","","","","","","","","","","","SE543","","","","","","","","",
"265603690366","GC37615","Bird","Songbird Essentials","Plastic","","","","","","","","","","","","","","","","","","","","","SERUBUBH","","","","","","","","",
"265603693796","GC6268","Bird","Songbird Essentials","","","","","","","","3","","","","","","","","","","","","","","SESC1019C","","","","","","","","",
"265619934054","GC6268","Bird","Songbird Essentials","","","","","","","","3","","","","","","","","","","","","","","SESC1019C","","","","","","","","",
"255444592042","GC23742","Bird","Songbird Essentials","","","","","","","","4","","","","","","","","","","","","","","SETC106","","","","","","","","",
"265603678331","ACHR155161","Bird","TS Shure","","Brown","","","","","","","","","","","","","","","","","","","","9073652","","","","","","","","",
"265603663055","ZX9SWM12589","Bird","No Sweat My Pet","","White","","","","","","","","","","","","","","","","","","","","NO130979","","","","","","","","",
"255444588807","GC39400","Bird","Woodlink","","","","","","","","","","","","","","","","","","","","","","WL24352","","","","","","","","",
"255444569354","CCRP0457","Bird","Woodlink","","","","","","","","","","","","","","","","","","","","","","WLLNABB","","","","","","","","",
"265603705084","ZX9WDLNK069","Bird","Fancy Feline","","","","","","","","","","","","","","","","","","","","","","FA142304","","","","","","","","",
