Item Id,SKU,Type,Brand,Product Line,Processor Manufacturer,Number of Processors,Model,Form Factor,RAM Size,Number of WAN Ports,Processor Type,RAID Levels,Memory Type,Processor Speed,Interface,Network Connectivity,Network Management Type,Network Type,Device Connectivity,Manufacturer Warranty,Country/Region of Manufacture,MPN,Maximum RAM Capacity,Custom Bundle,Bundle Description,California Prop 65 Warning,Connector Type,Item Height,Item Length,Item Width,Supported Wireless Protocols,
"264161243502","102383","Does Not Apply","Interloper","","Intel","1","","","","1","Pentium 4","4","","","","","","","","","","SC11","","","","","","","","","",
"254093313637","111110","Does Not Apply","Interloper","","Intel","3","","Tower","","3","Pentium III","3","","","","","","","","","","SC12","","No","","","","","","","",
"254093330435","115562","Does Not Apply","Interloper","","","8","","","256 MB","8","Pentium III","2","","","","","","","","","","SC14","","","","","","","","","",
"254528493066","115563","Does Not Apply","Interloper","","","10","","","512 MB","10","Pentium III","4","","","USB 2.0","","","","USB 2.0","","","SC15","","","","","","","","","",
"264161275455","109518","Does Not Apply","Interloper","","","1","","","","1","Pentium III","1","","","","","","","","","","SC2","","","","","","","","","",
"254093304522","109517","Does Not Apply","Interloper","","","1","","","","1","Celeron","1","","","","","","","","","","Does Not Apply","","","","","","","","","",
"264161243434","102381","Does Not Apply","Interloper","","","","","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","",
"254557493119","115605","Does Not Apply","Interloper","","Intel","2","","Tower","","2","","2","","","USB 2.0","","","","USB 2.0","","","SC16","","No","","","","","","","",
"264161277243","110404","Does Not Apply","Interloper","","","3","","","","3","Pentium 4","3","","","","","","","","","","Does Not Apply","","","","","","","","","",
"254093306478","110405","Does Not Apply","Interloper","","","","","","","9","","","","","","","","","","","","Does Not Apply","","","","","","","","","",
"254093275452","101137","Does Not Apply","Interloper","","","14","","","","14","","","","","","","","","","","","Does Not Apply","","","","","","","","","",
"264653294411","111030","Does Not Apply","Interloper","","","14","","","2 GB","14","Pentium 4","4","","","USB 2.0","","","","USB 2.0","","","Does Not Apply","","","","","","","","","",
