Item Id,SKU,Character/Story/Theme,Brand,Size,Color,Convention/Event,Year,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Franchise,Time Period Manufactured,
"255463048905","TZCS1138","","TZ Case","","Black","","","","","","","","",
"255463035377","TZCS1139","","TZ Case","","Gold","","","","","","","","",
"265621713170","TZCS1134","","TZ Case","","Black","","","","","","","","",
"255463050290","TZCS1135","","TZ Case","","Gold","","","","","","","","",
"265621718219","TZCS1136","","TZ Case","","Gold","","","","","","","","",
"265621710814","JSTC1823","","VER BEAUTY","","","","","","","","","","",
"265731464617","JSTC1905","","VER BEAUTY","","Blue","","","","","","","","",
"265731528212","JSTC1794","","VER BEAUTY","","","","","","","","","","",
"265731466719","JSTC1792","","VER BEAUTY","","","","","","","","","","",
"255463065221","JSTC1815","","VER BEAUTY","","","","","","","","","","",
"265731522184","JSTC1784","","VER BEAUTY","","Black","","","","","","","","",
"255463033974","JSTC1862","","VER BEAUTY","","","","","","","","","","",
"265731457335","JSTC1913","","VER BEAUTY","","","","","","","","","","",
"265731527829","JSTC1863","","VER BEAUTY","","Black","","","","","","","","",
"265621702904","JSTC1850","","VER BEAUTY","","","","","","","","","","",
"255576655994","JSTC1869","","Ver","","Black","","","","","","","","",
