Item Id,SKU,Type,Sensor Type,Style,Room,Material,Character Family,Brand,Number of Settings,Lighting Technology,Power Source,Color,Cord Color,Installation Area,Features,Finish,Mounting,Control Style,Shade Shape,Light Color,Bulb Shape Code,Character,Voltage,Item Diameter,Energy Star,Country/Region of Manufacture,Pattern,Output Voltage,Manufacturer,Year Manufactured,Department,IP Rating,Light Direction,Personalized,Amperage,Assembly Required,LED String/Strip Type,Manufacturer Warranty,LED Chip Code,Labels & Certifications,Color Temperature,Era,MPN,EC Range,Bulb Life Hours,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Lumens,Model,Number of Speeds,Power Consumption,Product Line,Required Tools,
"255463246871","LIVEX2058","Wall Lamps","Light","Antique","","Brass","","Livex","6","","","","","","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","1006-01","","","","","","","","","","","","","","","",
"265621889073","LIVEX2059","Wall Lamps","Light","","","Brass","","Livex","6","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","","","1006-25","","","","","","","","","","","","","","","",
"255463258406","LIVEX2060","Wall Lamps","Light","","","Chrome","","Livex","6","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","1006-95","","","","","","","","","","","","","","","",
"255463250531","LIVEX1946","Wall Lamps","Light","","","Brass","","Livex","4","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","","","1024-02","","","","","","","","","","","","","","","",
"255463259033","LIVEX1947","Wall Lamps","Light","","","Chrome","","Livex","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024-05","","","","","","","","","","","","","","","",
"255463245773","LIVEX1949","Wall Lamps","Light","","","Chrome","","Livex","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066-05","","","","","","","","","","","","","","","",
"255463257669","LIVEX1951","Wall Lamps","Light","","","Nickel","","Livex","6","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","1066-91","","","","","","","","","","","","","","","",
"255463248821","LIVEX1960","Wall Lamps","Light","","","Brass","","Livex","6","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","","","1076-02","","","","","","","","","","","","","","","",
"255463261202","LIVEX1833","Wall Lamps","Light","Antique","","Brass","","Livex","3","","","","","","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","1283-01","","","","","","","","","","","","","","","",
"255463264826","LIVEX1998","Wall Lamps","Light","","","Brass","","Livex","4","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","","","1284-02","","","","","","","","","","","","","","","",
"255463251199","LIVEX1952","Wall Lamps","Light","","","Bronze","","Livex","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1335-67","","","","","","","","","","","","","","","",
"265621890369","LIVEX1953","Wall Lamps","Light","","","Nickel","","Livex","5","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","1335-91","","","","","","","","","","","","","","","",
"265621901156","LIVEX1929","Wall Lamps","Light","","","Chrome","","Livex","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1544-05","","","","","","","","","","","","","","","",
"255463263930","LIVEX2024","Wall Lamps","Light","","","Nickel","","Livex","5","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","4205-91","","","","","","","","","","","","","","","",
"255463257355","LIVEX1995","Wall Lamps","Light","","","","","Livex","5","","","Black","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6485-04","","","","","","","","","","","","","","","",
